nohup: ignoring input
2025-02-10T18:02:24 (svs.sh:211:main) ./svs.sh --lang zh --local_data_opts --stage 1 --feats_type raw --fs 24000 --fmax 22050 --fmin 0 --n_fft 2048 --n_shift 256 --win_length 2048 --token_type phn --g2p None --cleaner none --train_config conf/tuning/train_visinger2_24k.yaml --inference_config conf/decode.yaml --train_set tr_no_dev --valid_set dev --test_sets dev eval --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --audio_format wav --stage 7 --svs_task gan_svs --pitch_extract dio --feats_extract fbank --feats_normalize none --score_feats_extract syllable_score_feats --inference_model latest.pth --write_collected_feats true
2025-02-10T18:02:25 (svs.sh:912:main) Stage 7: Decoding: training_dir=exp/svs_train_visinger2_24k_raw_phn_None_zh
2025-02-10T18:02:25 (svs.sh:952:main) Generate 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/run.sh'. You can resume the process from stage 7 using this script
2025-02-10T18:02:25 (svs.sh:1009:main) Decoding started... log: 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/dev/log/svs_inference.*.log'
2025-02-10T18:04:20 (svs.sh:1009:main) Decoding started... log: 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/eval/log/svs_inference.*.log'
2025-02-10T18:07:33 (svs.sh:1069:main) Stage 8: Scoring
2025-02-10T18:07:33 (svs.sh:1079:main) Begin Scoring for MCD metrics on dev, results are written under exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/dev/MCD_res
2025-02-10 18:07:50,440 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_BreathyGroup_0003 10.0497
2025-02-10 18:07:50,479 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0006 8.6724
2025-02-10 18:07:50,570 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0009 10.2508
2025-02-10 18:07:50,706 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0003 8.5796
2025-02-10 18:07:50,711 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0002 11.1204
2025-02-10 18:07:51,566 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0008 9.1860
2025-02-10 18:07:51,689 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0008 9.9087
2025-02-10 18:07:51,711 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0009 9.6010
2025-02-10 18:07:51,715 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0008 9.8722
2025-02-10 18:07:52,106 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0003 9.9256
2025-02-10 18:07:52,157 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0003 10.5837
2025-02-10 18:07:52,204 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0001 9.0323
2025-02-10 18:07:52,683 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0002 10.6276
2025-02-10 18:07:53,174 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0004 10.6456
2025-02-10 18:07:53,481 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0007 8.7020
2025-02-10 18:07:53,538 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0000 9.6109
2025-02-10 18:07:53,788 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0006 8.8691
2025-02-10 18:07:53,956 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0004 10.8221
2025-02-10 18:07:54,281 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0003 9.2021
2025-02-10 18:07:54,520 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_ControlGroup_0000 9.4306
2025-02-10 18:07:54,855 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0010 11.0691
2025-02-10 18:07:55,003 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0009 9.6980
2025-02-10 18:07:55,063 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0009 9.5790
2025-02-10 18:07:55,516 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0004 9.3567
2025-02-10 18:07:55,573 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0004 10.1207
2025-02-10 18:07:56,243 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0003 11.3819
2025-02-10 18:07:56,332 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0000 7.7879
2025-02-10 18:07:56,631 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0001 9.1833
2025-02-10 18:07:56,838 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0002 8.3862
2025-02-10 18:07:57,281 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0005 10.0492
2025-02-10 18:07:57,294 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0010 8.7791
2025-02-10 18:07:57,354 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0007 9.9049
2025-02-10 18:07:57,438 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0008 10.3709
2025-02-10 18:07:58,062 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0004 9.2480
2025-02-10 18:07:58,202 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0011 8.9873
2025-02-10 18:07:58,426 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_ControlGroup_0001 9.0846
2025-02-10 18:07:58,894 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0005 9.4777
2025-02-10 18:07:58,912 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0005 10.2014
2025-02-10 18:07:59,925 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0004 9.7364
2025-02-10 18:08:00,128 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0002 10.0586
2025-02-10 18:08:00,972 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0010 9.6607
2025-02-10 18:08:00,982 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0005 9.0790
2025-02-10 18:08:01,018 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0010 9.7086
2025-02-10 18:08:01,076 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0011 9.2014
2025-02-10 18:08:01,104 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0001 8.1508
2025-02-10 18:08:01,134 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0008 8.2099
2025-02-10 18:08:01,185 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0009 9.9577
2025-02-10 18:08:01,382 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0006 10.5625
2025-02-10 18:08:01,460 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0003 7.9584
2025-02-10 18:08:01,860 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0005 10.7262
2025-02-10 18:08:02,354 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_ControlGroup_0002 10.1332
2025-02-10 18:08:03,066 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0000 8.5708
2025-02-10 18:08:03,391 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0005 10.2993
2025-02-10 18:08:04,212 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0011 10.6724
2025-02-10 18:08:04,218 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0011 10.7562
2025-02-10 18:08:05,396 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0002 7.5652
2025-02-10 18:08:05,691 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0004 9.3579
2025-02-10 18:08:05,702 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0007 11.2049
2025-02-10 18:08:05,731 (evaluate_mcd:310) INFO: Average: 9.6676 ± 0.8207
2025-02-10 18:08:05,741 (evaluate_mcd:327) INFO: Successfully finished MCD evaluation.
2025-02-10T18:08:05 (svs.sh:1088:main) Begin Scoring for F0 related metrics on dev, results are written under exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/dev/F0_res
2025-02-10 18:08:07,399 (evaluate_f0:298) INFO: The number of utterances = 105
2025-02-10 18:08:14,738 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0000 0.2141
