nohup: ignoring input
2025-01-15T17:16:16 (svs2.sh:249:main) ./svs2.sh --lang zh --stage 1 --stop_stage 9 --local_data_opts --stage 0 --feats_type raw --pitch_extract dio --fs 16000 --fmax 7600 --fmin 80 --n_fft 2048 --n_shift 320 --win_length 1200 --token_type phn --g2p none --cleaner none --preset_layer none --preset_token none --train_config conf/tuning/ --inference_config conf/tuning/decode.yaml --gpu_inference true --train_set tr_no_dev --valid_set dev --test_sets test --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --RVQ_layers 1 --kmeans_opts --batch_bins 4800000 --kmeans_feature wavlm_large/6 --multi_token  --mix_type frame --nclusters 128 --RVQ_layers 1 --ngpu 1 --stage 8 --train_config conf/tuning/train_toksing.yaml --mix_type frame --vocoder_file /data5/arllan/ParallelWaveGAN/egs/opencpop/token_voc1/exp/train_opencpop_hifigan_token_16k_nodp_f0.v1/checkpoint-250000steps.pkl
2025-01-15T17:16:17 (svs2.sh:1130:main) Stage 8: Decoding: training_dir=exp/svs_train_toksing_raw_phn_none_zh
2025-01-15T17:16:17 (svs2.sh:1170:main) Generate 'exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/run.sh'. You can resume the process from stage 8 using this script
2025-01-15T17:16:17 (svs2.sh:1241:main) Decoding started... log: 'exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/log/svs_inference.*.log'
2025-01-15T17:18:00 (svs2.sh:1337:main) Stage 9: Scoring
2025-01-15T17:18:00 (svs2.sh:1348:main) Begin Scoring for token accuracy on test, results are written under exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/Accuracy_res
2025-01-15T17:18:00 (svs2.sh:1360:main) Begin Scoring for MCD metrics on test, results are written under exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/MCD_res
2025-01-15 17:18:08,469 (evaluate_mcd:171) INFO: opencpop_2086003196 7.7864
2025-01-15 17:18:08,568 (evaluate_mcd:171) INFO: opencpop_2092003442 11.7082
2025-01-15 17:18:08,746 (evaluate_mcd:171) INFO: opencpop_2093003456 9.1880
2025-01-15 17:18:08,833 (evaluate_mcd:171) INFO: opencpop_2093003469 9.2124
2025-01-15 17:18:08,910 (evaluate_mcd:171) INFO: opencpop_2044001671 8.9048
2025-01-15 17:18:08,949 (evaluate_mcd:171) INFO: opencpop_2100003726 8.8475
2025-01-15 17:18:08,971 (evaluate_mcd:171) INFO: opencpop_2100003739 10.8903
2025-01-15 17:18:08,980 (evaluate_mcd:171) INFO: opencpop_2044001633 8.4415
2025-01-15 17:18:09,008 (evaluate_mcd:171) INFO: opencpop_2100003750 9.3625
2025-01-15 17:18:09,159 (evaluate_mcd:171) INFO: opencpop_2044001659 8.6400
2025-01-15 17:18:09,168 (evaluate_mcd:171) INFO: opencpop_2044001646 8.6757
2025-01-15 17:18:09,326 (evaluate_mcd:171) INFO: opencpop_2093003482 9.6970
2025-01-15 17:18:09,736 (evaluate_mcd:171) INFO: opencpop_2092003430 6.9431
2025-01-15 17:18:09,782 (evaluate_mcd:171) INFO: opencpop_2044001634 7.5646
2025-01-15 17:18:09,885 (evaluate_mcd:171) INFO: opencpop_2100003727 9.2640
2025-01-15 17:18:09,888 (evaluate_mcd:171) INFO: opencpop_2044001660 9.2072
2025-01-15 17:18:09,921 (evaluate_mcd:171) INFO: opencpop_2100003751 9.8219
2025-01-15 17:18:09,967 (evaluate_mcd:171) INFO: opencpop_2092003417 8.9665
2025-01-15 17:18:10,013 (evaluate_mcd:171) INFO: opencpop_2100003740 11.0984
2025-01-15 17:18:10,100 (evaluate_mcd:171) INFO: opencpop_2093003457 8.5489
2025-01-15 17:18:10,103 (evaluate_mcd:171) INFO: opencpop_2044001672 9.0882
2025-01-15 17:18:10,153 (evaluate_mcd:171) INFO: opencpop_2093003470 8.3834
2025-01-15 17:18:10,181 (evaluate_mcd:171) INFO: opencpop_2086003186 8.3368
2025-01-15 17:18:10,201 (evaluate_mcd:171) INFO: opencpop_2044001647 7.2766
2025-01-15 17:18:10,213 (evaluate_mcd:171) INFO: opencpop_2086003210 8.3366
2025-01-15 17:18:10,303 (evaluate_mcd:171) INFO: opencpop_2086003197 7.8289
2025-01-15 17:18:10,433 (evaluate_mcd:171) INFO: opencpop_2092003443 10.6312
2025-01-15 17:18:10,547 (evaluate_mcd:171) INFO: opencpop_2093003483 10.1079
2025-01-15 17:18:10,921 (evaluate_mcd:171) INFO: opencpop_2100003741 9.4896
2025-01-15 17:18:10,938 (evaluate_mcd:171) INFO: opencpop_2100003728 10.6732
2025-01-15 17:18:10,948 (evaluate_mcd:171) INFO: opencpop_2100003752 9.7197
2025-01-15 17:18:10,998 (evaluate_mcd:171) INFO: opencpop_2086003187 8.2988
2025-01-15 17:18:11,076 (evaluate_mcd:171) INFO: opencpop_2092003418 9.9409
2025-01-15 17:18:11,120 (evaluate_mcd:171) INFO: opencpop_2044001673 8.9246
2025-01-15 17:18:11,214 (evaluate_mcd:171) INFO: opencpop_2044001661 8.6434
2025-01-15 17:18:11,265 (evaluate_mcd:171) INFO: opencpop_2044001648 9.0643
2025-01-15 17:18:11,327 (evaluate_mcd:171) INFO: opencpop_2086003211 8.3051
2025-01-15 17:18:11,427 (evaluate_mcd:171) INFO: opencpop_2100003713 7.7187
2025-01-15 17:18:11,557 (evaluate_mcd:171) INFO: opencpop_2044001635 8.8170
2025-01-15 17:18:11,665 (evaluate_mcd:171) INFO: opencpop_2093003458 8.3230
2025-01-15 17:18:11,708 (evaluate_mcd:171) INFO: opencpop_2093003471 8.4742
2025-01-15 17:18:11,796 (evaluate_mcd:171) INFO: opencpop_2100003753 9.3177
2025-01-15 17:18:11,801 (evaluate_mcd:171) INFO: opencpop_2100003729 8.8483
2025-01-15 17:18:11,844 (evaluate_mcd:171) INFO: opencpop_2100003742 9.1615
2025-01-15 17:18:11,848 (evaluate_mcd:171) INFO: opencpop_2092003444 10.4954
2025-01-15 17:18:11,865 (evaluate_mcd:171) INFO: opencpop_2092003431 6.7744
2025-01-15 17:18:11,906 (evaluate_mcd:171) INFO: opencpop_2092003419 9.5805
2025-01-15 17:18:12,166 (evaluate_mcd:171) INFO: opencpop_2086003212 8.6451
2025-01-15 17:18:12,198 (evaluate_mcd:171) INFO: opencpop_2044001674 9.6419
2025-01-15 17:18:12,214 (evaluate_mcd:171) INFO: opencpop_2086003198 9.7360
2025-01-15 17:18:12,300 (evaluate_mcd:171) INFO: opencpop_2044001649 8.2786
2025-01-15 17:18:12,377 (evaluate_mcd:171) INFO: opencpop_2100003714 8.2516
2025-01-15 17:18:12,500 (evaluate_mcd:171) INFO: opencpop_2044001662 9.9413
2025-01-15 17:18:12,609 (evaluate_mcd:171) INFO: opencpop_2044001636 8.9494
2025-01-15 17:18:12,653 (evaluate_mcd:171) INFO: opencpop_2086003188 8.7114
2025-01-15 17:18:12,749 (evaluate_mcd:171) INFO: opencpop_2100003754 9.9051
2025-01-15 17:18:12,771 (evaluate_mcd:171) INFO: opencpop_2100003730 9.7647
2025-01-15 17:18:12,774 (evaluate_mcd:171) INFO: opencpop_2100003743 9.8179
2025-01-15 17:18:12,946 (evaluate_mcd:171) INFO: opencpop_2093003459 9.1939
2025-01-15 17:18:12,948 (evaluate_mcd:171) INFO: opencpop_2093003472 9.6017
2025-01-15 17:18:13,210 (evaluate_mcd:171) INFO: opencpop_2092003445 11.4526
2025-01-15 17:18:13,334 (evaluate_mcd:171) INFO: opencpop_2100003715 8.2547
2025-01-15 17:18:13,377 (evaluate_mcd:171) INFO: opencpop_2092003432 7.6018
2025-01-15 17:18:13,383 (evaluate_mcd:171) INFO: opencpop_2044001650 9.1227
2025-01-15 17:18:13,395 (evaluate_mcd:171) INFO: opencpop_2092003420 9.0663
2025-01-15 17:18:13,676 (evaluate_mcd:171) INFO: opencpop_2044001637 8.4121
2025-01-15 17:18:13,707 (evaluate_mcd:171) INFO: opencpop_2044001663 10.0443
2025-01-15 17:18:13,727 (evaluate_mcd:171) INFO: opencpop_2100003755 9.2759
2025-01-15 17:18:13,732 (evaluate_mcd:171) INFO: opencpop_2100003731 9.0899
2025-01-15 17:18:13,795 (evaluate_mcd:171) INFO: opencpop_2100003744 10.6779
2025-01-15 17:18:13,796 (evaluate_mcd:171) INFO: opencpop_2086003199 8.8850
2025-01-15 17:18:13,860 (evaluate_mcd:171) INFO: opencpop_2044001675 9.5369
2025-01-15 17:18:13,936 (evaluate_mcd:171) INFO: opencpop_2086003189 9.5553
2025-01-15 17:18:14,040 (evaluate_mcd:171) INFO: opencpop_2086003213 8.7792
2025-01-15 17:18:14,091 (evaluate_mcd:171) INFO: opencpop_2093003473 8.8970
2025-01-15 17:18:14,108 (evaluate_mcd:171) INFO: opencpop_2093003460 9.2010
2025-01-15 17:18:14,149 (evaluate_mcd:171) INFO: opencpop_2100003716 6.8210
2025-01-15 17:18:14,211 (evaluate_mcd:171) INFO: opencpop_2044001651 8.1924
2025-01-15 17:18:14,497 (evaluate_mcd:171) INFO: opencpop_2092003446 10.9997
2025-01-15 17:18:14,577 (evaluate_mcd:171) INFO: opencpop_2092003433 6.5043
2025-01-15 17:18:14,799 (evaluate_mcd:171) INFO: opencpop_2044001638 8.1785
2025-01-15 17:18:14,840 (evaluate_mcd:171) INFO: opencpop_2092003421 9.4003
2025-01-15 17:18:14,959 (evaluate_mcd:171) INFO: opencpop_2086003176 8.2358
2025-01-15 17:18:15,068 (evaluate_mcd:171) INFO: opencpop_2086003190 8.0652
2025-01-15 17:18:15,125 (evaluate_mcd:171) INFO: opencpop_2086003200 9.4614
2025-01-15 17:18:15,136 (evaluate_mcd:171) INFO: opencpop_2100003717 8.0063
2025-01-15 17:18:15,186 (evaluate_mcd:171) INFO: opencpop_2044001664 12.2626
2025-01-15 17:18:15,349 (evaluate_mcd:171) INFO: opencpop_2100003756 10.6857
2025-01-15 17:18:15,424 (evaluate_mcd:171) INFO: opencpop_2093003474 8.7454
2025-01-15 17:18:15,447 (evaluate_mcd:171) INFO: opencpop_2093003461 8.9859
2025-01-15 17:18:15,482 (evaluate_mcd:171) INFO: opencpop_2100003732 10.3651
2025-01-15 17:18:15,574 (evaluate_mcd:171) INFO: opencpop_2092003434 8.3263
2025-01-15 17:18:15,633 (evaluate_mcd:171) INFO: opencpop_2092003408 6.5955
2025-01-15 17:18:15,833 (evaluate_mcd:171) INFO: opencpop_2044001639 9.3241
2025-01-15 17:18:15,884 (evaluate_mcd:171) INFO: opencpop_2086003177 6.8590
2025-01-15 17:18:15,925 (evaluate_mcd:171) INFO: opencpop_2092003447 14.9983
2025-01-15 17:18:15,936 (evaluate_mcd:171) INFO: opencpop_2044001652 8.4594
2025-01-15 17:18:16,008 (evaluate_mcd:171) INFO: opencpop_2086003191 7.1177
2025-01-15 17:18:16,058 (evaluate_mcd:171) INFO: opencpop_2100003718 8.2569
2025-01-15 17:18:16,257 (evaluate_mcd:171) INFO: opencpop_2086003201 7.7801
2025-01-15 17:18:16,332 (evaluate_mcd:171) INFO: opencpop_2092003422 11.6196
2025-01-15 17:18:16,621 (evaluate_mcd:171) INFO: opencpop_2044001665 11.6760
2025-01-15 17:18:16,878 (evaluate_mcd:171) INFO: opencpop_2044001640 9.5449
2025-01-15 17:18:16,995 (evaluate_mcd:171) INFO: opencpop_2093003475 8.3038
2025-01-15 17:18:17,007 (evaluate_mcd:171) INFO: opencpop_2044001653 8.8749
2025-01-15 17:18:17,011 (evaluate_mcd:171) INFO: opencpop_2100003719 8.5184
2025-01-15 17:18:17,026 (evaluate_mcd:171) INFO: opencpop_2093003462 8.2531
2025-01-15 17:18:17,050 (evaluate_mcd:171) INFO: opencpop_2092003435 7.9825
2025-01-15 17:18:17,143 (evaluate_mcd:171) INFO: opencpop_2092003448 13.1406
2025-01-15 17:18:17,193 (evaluate_mcd:171) INFO: opencpop_2086003202 7.7846
2025-01-15 17:18:17,659 (evaluate_mcd:171) INFO: opencpop_2092003409 6.3406
2025-01-15 17:18:17,693 (evaluate_mcd:171) INFO: opencpop_2086003178 8.5178
2025-01-15 17:18:17,791 (evaluate_mcd:171) INFO: opencpop_2086003192 8.8847
2025-01-15 17:18:17,800 (evaluate_mcd:171) INFO: opencpop_2092003423 10.2425
2025-01-15 17:18:17,947 (evaluate_mcd:171) INFO: opencpop_2044001666 9.5639
2025-01-15 17:18:18,224 (evaluate_mcd:171) INFO: opencpop_2092003436 8.8593
2025-01-15 17:18:18,315 (evaluate_mcd:171) INFO: opencpop_2093003476 9.2856
2025-01-15 17:18:18,355 (evaluate_mcd:171) INFO: opencpop_2093003463 8.5780
2025-01-15 17:18:18,606 (evaluate_mcd:171) INFO: opencpop_2092003410 6.4923
2025-01-15 17:18:18,629 (evaluate_mcd:171) INFO: opencpop_2093003449 6.3370
2025-01-15 17:18:18,779 (evaluate_mcd:171) INFO: opencpop_2086003179 8.4877
2025-01-15 17:18:18,932 (evaluate_mcd:171) INFO: opencpop_2086003203 8.3788
2025-01-15 17:18:18,965 (evaluate_mcd:171) INFO: opencpop_2092003437 8.4465
2025-01-15 17:18:19,170 (evaluate_mcd:171) INFO: opencpop_2092003424 9.4198
2025-01-15 17:18:19,500 (evaluate_mcd:171) INFO: opencpop_2093003477 10.3135
2025-01-15 17:18:19,678 (evaluate_mcd:171) INFO: opencpop_2093003450 6.9924
2025-01-15 17:18:19,758 (evaluate_mcd:171) INFO: opencpop_2093003464 8.5094
2025-01-15 17:18:20,018 (evaluate_mcd:171) INFO: opencpop_2092003411 5.7466
2025-01-15 17:18:20,033 (evaluate_mcd:171) INFO: opencpop_2086003204 8.1569
2025-01-15 17:18:20,464 (evaluate_mcd:171) INFO: opencpop_2092003438 9.3912
2025-01-15 17:18:20,647 (evaluate_mcd:171) INFO: opencpop_2092003425 9.5275
2025-01-15 17:18:20,828 (evaluate_mcd:171) INFO: opencpop_2086003205 8.6633
2025-01-15 17:18:21,258 (evaluate_mcd:171) INFO: opencpop_2093003451 7.9509
2025-01-15 17:18:21,359 (evaluate_mcd:171) INFO: opencpop_2092003412 6.5217
2025-01-15 17:18:21,397 (evaluate_mcd:310) INFO: Average: 8.9424 ± 1.2683
2025-01-15 17:18:21,407 (evaluate_mcd:327) INFO: Successfully finished MCD evaluation.
2025-01-15T17:18:21 (svs2.sh:1369:main) Begin Scoring for F0 related metrics on test, results are written under exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/F0_res
2025-01-15 17:18:23,136 (evaluate_f0:298) INFO: The number of utterances = 206
2025-01-15 17:18:25,780 (evaluate_f0:170) INFO: opencpop_2086003180 0.1735
2025-01-15 17:18:25,852 (evaluate_f0:170) INFO: opencpop_2100003720 0.0895
2025-01-15 17:18:26,015 (evaluate_f0:170) INFO: opencpop_2093003452 0.1612
2025-01-15 17:18:26,384 (evaluate_f0:170) INFO: opencpop_2100003733 0.2471
2025-01-15 17:18:26,599 (evaluate_f0:170) INFO: opencpop_2100003745 0.1363
2025-01-15 17:18:26,935 (evaluate_f0:170) INFO: opencpop_2093003465 0.0772
2025-01-15 17:18:27,000 (evaluate_f0:170) INFO: opencpop_2044001654 0.1229
2025-01-15 17:18:27,035 (evaluate_f0:170) INFO: opencpop_2044001641 0.1293
2025-01-15 17:18:27,244 (evaluate_f0:170) INFO: opencpop_2044001628 0.2894
2025-01-15 17:18:27,397 (evaluate_f0:170) INFO: opencpop_2086003193 0.1809
2025-01-15 17:18:27,575 (evaluate_f0:170) INFO: opencpop_2093003478 0.0747
2025-01-15 17:18:28,568 (evaluate_f0:170) INFO: opencpop_2092003439 0.2740
2025-01-15 17:18:28,574 (evaluate_f0:170) INFO: opencpop_2092003426 0.2244
2025-01-15 17:18:28,688 (evaluate_f0:170) INFO: opencpop_2086003181 0.2308
2025-01-15 17:18:28,904 (evaluate_f0:170) INFO: opencpop_2100003721 0.3956
2025-01-15 17:18:29,165 (evaluate_f0:170) INFO: opencpop_2086003206 0.1785
2025-01-15 17:18:29,322 (evaluate_f0:170) INFO: opencpop_2044001667 0.7096
2025-01-15 17:18:29,469 (evaluate_f0:170) INFO: opencpop_2100003734 0.2692
2025-01-15 17:18:29,504 (evaluate_f0:170) INFO: opencpop_2092003413 0.2221
2025-01-15 17:18:29,739 (evaluate_f0:170) INFO: opencpop_2100003746 0.2861
2025-01-15 17:18:29,918 (evaluate_f0:170) INFO: opencpop_2086003194 0.1654
2025-01-15 17:18:30,662 (evaluate_f0:170) INFO: opencpop_2093003453 0.3348
2025-01-15 17:18:30,900 (evaluate_f0:170) INFO: opencpop_2044001629 0.2050
2025-01-15 17:18:31,129 (evaluate_f0:170) INFO: opencpop_2086003182 0.1584
2025-01-15 17:18:31,285 (evaluate_f0:170) INFO: opencpop_2044001642 0.1399
2025-01-15 17:18:31,323 (evaluate_f0:170) INFO: opencpop_2044001655 0.1729
2025-01-15 17:18:31,497 (evaluate_f0:170) INFO: opencpop_2093003466 0.2612
2025-01-15 17:18:31,970 (evaluate_f0:170) INFO: opencpop_2100003722 0.1978
2025-01-15 17:18:32,282 (evaluate_f0:170) INFO: opencpop_2093003479 0.1066
2025-01-15 17:18:32,585 (evaluate_f0:170) INFO: opencpop_2100003735 0.1690
2025-01-15 17:18:32,761 (evaluate_f0:170) INFO: opencpop_2100003747 0.2909
2025-01-15 17:18:33,358 (evaluate_f0:170) INFO: opencpop_2044001668 0.3986
2025-01-15 17:18:33,528 (evaluate_f0:170) INFO: opencpop_2092003427 0.1121
